DOI,Link
10.1002/minf.201400122,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942191120&partnerID=40&md5=e3fe4fc60cb70d8ae79d7a1adb5333dd"
10.1016/j.microc.2015.04.018,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928991745&partnerID=40&md5=bd70187927dc98b7ec19860815a2a19c"
10.1016/j.aquatox.2015.06.013,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84936875979&partnerID=40&md5=a2c716ff2cdde621c3c155388fceed14"
10.1016/j.ntt.2015.07.009,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940371326&partnerID=40&md5=0dcad5bb266559eef142762ab26bacac"
10.1016/j.vascn.2015.05.013,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942366358&partnerID=40&md5=45ebdcd6d6ccce28224788d9b3cb5309"
10.1021/acs.est.5b01494,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940871647&partnerID=40&md5=a12ab15a7a6700167004701c0ab25584"
10.1016/j.compbiomed.2015.07.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938820956&partnerID=40&md5=3916ba81cba04bc5404e29e419e5e755"
10.1002/ejic.201500643,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942500144&partnerID=40&md5=e996d1d9e00184b9f829a47f998b9c1a"
10.1016/j.envpol.2015.04.015,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84928792333&partnerID=40&md5=62899d0e24b28e2c450bc93693b1efa2"
10.1016/j.aquatox.2015.07.002,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938815674&partnerID=40&md5=295d1fabda7c0d25ee047d5287b7ada6"
10.1021/acs.est.5b02761,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940827579&partnerID=40&md5=c21d242954834d57a1e24772438168f4"
10.1002/ejoc.201500924,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943416117&partnerID=40&md5=96bb2f7fa78dfd8e2c9c50d16c848a7b"
,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942095509&partnerID=40&md5=7f2f029c6ff8e6954a62940c88774b0a"
10.1016/j.colsurfa.2015.05.026,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84935010345&partnerID=40&md5=f75aea4ec94c6793e93b49f35e26043b"
10.1016/j.cbpb.2015.04.013,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930216258&partnerID=40&md5=d222e0da369d2fa0b80c90b1d3e866c3"
10.1016/j.fct.2015.06.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934275450&partnerID=40&md5=5b4084dc27cea48f7a205f63cad02843"
10.1016/j.neuro.2015.07.008,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939235734&partnerID=40&md5=99db213d30cea331c4d4744587544872"
10.1016/j.ejps.2015.05.005,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84929297859&partnerID=40&md5=349a24244452fee90c55a59b98a3b6bf"
10.1371/journal.pone.0134261,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943329510&partnerID=40&md5=2ee98774e4c83e225e441326c9e87f5a"
10.1038/srep13516,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940559355&partnerID=40&md5=c4cdbb7781041789e511ef01447088d3"
10.1021/acs.est.5b01034,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84943385365&partnerID=40&md5=25c3882bb21ccd7503111a020c5303d0"
10.1007/s00204-014-1298-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937857547&partnerID=40&md5=2b977094594938f7a9377888368a8d55"
10.1007/s11356-015-4511-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937971980&partnerID=40&md5=6e7566b931414e729146ffa30bef9152"
10.1007/s11356-015-4661-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937968257&partnerID=40&md5=099053c7d5c7c1ffc7747084ab81601d"
10.1007/s11051-015-3151-x,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940208749&partnerID=40&md5=4c241fa0393db89ffa3f6ec0724ccc33"
10.1007/s10570-015-0658-3,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937971260&partnerID=40&md5=7db4e462f1bb0467877b6a5911b67739"
10.1039/c5ta02949j,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938149969&partnerID=40&md5=10c791e104e223e7563ba5bc3d3f56e7"
10.1039/c5ra13533h,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940516989&partnerID=40&md5=2de8fc65dc800f094db3f1ed4e38cfc5"
10.1039/c5dt01805f,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84941763406&partnerID=40&md5=c6092c7afb3de5bde18e789de2ec74d6"
10.1039/c5cc04432d,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938247919&partnerID=40&md5=10e8e833030a8afc17eb1cdf1c8ce0e8"
10.1016/j.catcom.2015.07.022,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84939163490&partnerID=40&md5=57c096ffd8f44910121ee93a06d486f6"
10.1007/s11030-015-9626-y,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942983343&partnerID=40&md5=3eeb7c778fac6a8da263ac8df832c34b"
10.1039/c5ra12476j,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940518064&partnerID=40&md5=4f3044e7b354802c81451e0d6743e103"
10.1039/c5cc04423e,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938152862&partnerID=40&md5=59f78be7dacab93624e8d2e1540edcb9"
10.1021/acs.jafc.5b01519,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938702394&partnerID=40&md5=52100be9e31a54e1b6de76a5d261e247"
10.1039/c5ra12747e,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940495666&partnerID=40&md5=a5a5e66422725016f6c2ed67df3f5ab4"
10.1016/j.drudis.2015.04.010,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84940614273&partnerID=40&md5=24c12ed078d7e01313b4662236681b72"
10.1016/j.carbon.2015.06.017,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938632640&partnerID=40&md5=fd3ee49699e870810ca1fcd5332231aa"
10.1039/c5ce00812c,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937035651&partnerID=40&md5=d25b24cc33118a0c160b83221f039fdb"
10.1016/j.reprotox.2015.04.003,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937975869&partnerID=40&md5=f9021f1c61fa180ee795988eb78e7824"
10.1371/journal.pone.0134662,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942084767&partnerID=40&md5=919cc68636f8620fca719d64eea1af40"
10.1021/acs.est.5b01083,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938635027&partnerID=40&md5=4dcbed1af86c071a097e0212aca2e218"
10.1021/acssuschemeng.5b00223,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938306015&partnerID=40&md5=103bb3f552443a6d0488bd89adeb8942"
10.1039/c5en00026b,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84942942174&partnerID=40&md5=c9d6f9653a4c1020a5d7ac95b7f4269c"
10.1016/j.jcis.2015.03.040,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930210210&partnerID=40&md5=f592dd5628bb198b927400de675699fd"
10.1007/s10098-014-0890-9,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84937862509&partnerID=40&md5=a4f242c24bcf761c8990bbe86f8f2ef9"
10.1039/c5gc00832h,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84938536580&partnerID=40&md5=0316a7d2d80669c883aca3c8c5e0919f"
10.1016/j.apcatb.2015.01.004,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84934275044&partnerID=40&md5=c740eb2324e5c4aaa9eb159aed66c980"
10.1016/j.envpol.2015.03.043,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84926617631&partnerID=40&md5=7ad57e570ab1c21e436acde04e393583"
10.1016/j.yrtph.2015.05.031,"http://www.scopus.com/inward/record.url?eid=2-s2.0-84930946895&partnerID=40&md5=61db9ddf96b46f8cc0f6b6efce7fd06a"
